NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
Blood Feast,Ogor Mawtribes,Lore of Gutmagic,,7,"18""","Blood Feast is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 friendly Ogor unit that is not a Monster and that is wholly within range and visible to the caster. Add 1 to the Attacks characteristic of that unit’s melee weapons until the start of your next hero phase."
Favoured Poxes,Maggotkin of Nurgle,Lore of Virulence,,7,"14""","Favoured Poxes is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the caster moves, attacks, makes a casting, unbinding or dispelling attempt, or is slain, subtract 1 from hit and wound rolls for attacks made by that unit and subtract 1 from save rolls for attacks that target that unit."
Fleshy Abundance,Maggotkin of Nurgle,Lore of Virulence,,7,"14""","Fleshy Abundance is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 friendly Maggotkin of Nurgle Daemon unit within range and visible to the caster. Add 1 to the Wounds characteristic of that unit until your next hero phase.

Designer’s Note: This can result in a model that is affected by this spell being slain if the wounds allocated to that model equal or exceed its Wounds characteristic once the effect of the spell ends."
Steed of Tides,Idoneth Deepkin,Lore of the Deeps,,5,"6""","Steed of Tides is a spell that has a casting value of 5 and a range of 6"". If cast, pick 1 friendly Hero that is not a Monster and that is within range and visible to the caster. Remove that Hero from the battlefield and set it up again on the battlefield more than 9"" from all enemy units. A unit set up with this ability cannot move in the following movement phase."
Counter-current,Idoneth Deepkin,Lore of the Deeps,,6,"18""","Counter-current is a spell that has a casting value of 6 and a range of 18"". If cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, halve run rolls and charge rolls for that unit."
Seal of Shyish,Nighthaunt,Lore of the Underworlds,,5,"12""","Seal of Shyish is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 friendly Nighthaunt unit wholly within range and visible to the caster. That unit has a ward of 5+ until your next hero phase."
Shademist,Nighthaunt,Lore of the Underworlds,,6,"12""","Shademist is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Nighthaunt unit wholly within range and visible to the caster. Subtract 1 from wound rolls for attacks that target that unit until your next hero phase."
Spectral Tether,Nighthaunt,Lore of the Underworlds,,4,,"Spectral Tether is a spell that has a casting value of 4. If successfully cast, remove the caster from the battlefield and set it up again on the battlefield more than 9"" from all enemy units. The caster cannot move in the following movement phase."
Skitterleap,Skaven,Lore of Ruin,,6,"13""","Skitterleap is a spell that has a casting value of 6 and a range of 13"". If successfully cast, pick 1 friendly Skaven Hero with a Wounds characteristic of 13 or less within range and visible to the caster. Remove that Hero from the battlefield and set it up again on the battlefield more than 9"" from all enemy units. That Hero cannot move in the following movement phase."
Death Frenzy,Skaven,Lore of Ruin,,7,"13""","Death Frenzy is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick 1 friendly Skaven unit that is not a Hero within range and visible to the caster. Until your next hero phase, if any models in that unit are slain, those models can fight before they are removed from play."
Verdant Blessing,Sylvaneth,Lore of the Sylvaneth,,6,"18""","Verdant Blessing is a spell that has a casting value of 6 and a range of 18"". If successfully cast, set up 1 Awakened Wyldwood terrain feature wholly within range and visible to the caster, and more than 3"" from all other models, endless spells, invocations, terrain features and objectives, and add it to your army."
Throne of Vines,Sylvaneth,Lore of the Deepwood,,9,,"Throne of Vines is a spell that has a casting value of 9. If successfully cast, at the end of each phase until the start of your next hero phase, you can heal 1 wound allocated to the caster."
Regrowth,Sylvaneth,Lore of the Deepwood,,5,"18""","Regrowth is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Sylvaneth unit wholly within range and visible to the caster. You can heal up to D6 wounds allocated to that unit."
The Dwellers Below,Sylvaneth,Lore of the Deepwood,,7,"12""","The Dwellers Below is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to the number of models in that unit. For each 5+, that unit suffers 1 mortal wound."
Deadly Harvest,Sylvaneth,Lore of the Deepwood,,6,"3""","Deadly Harvest is a spell that has a casting value of 6 and a range of 3"". If successfully cast, each enemy unit within range of the caster suffers D3 mortal wounds (roll separately for each unit)."
Verdurous Harmony,Sylvaneth,Lore of the Deepwood,,7,"18""","Verdurous Harmony is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 friendly Sylvaneth unit wholly within range and visible to the caster. You can return 1 slain model to that unit. If you picked a Dryads, Tree-Revenants or Spite-Revenants unit, you can return up to D3 slain models to that unit instead of 1."
Treesong,Sylvaneth,Lore of the Deepwood,,7,"16""","Treesong is a spell that has a casting value of 7 and a range of 16"". If successfully cast, pick 1 friendly Awakened Wyldwood within range of the caster. Until the start of your next hero phase, improve the Rend characteristic of melee weapons used by friendly Sylvaneth units by 1 while they are wholly within 9"" of that Awakened Wyldwood."
Mirror Dance,Daughters of Khaine,Lore of Shadows,,6,"18""","Mirror Dance is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 2 friendly Daughters of Khaine Heroes that are wholly within range, visible to the caster and each more than 3"" from all enemy units. Remove those Heroes from the battlefield. Then, set each model up again within 1"" of the location that had been occupied by the other model before it was removed from the battlefield and more than 3"" from all enemy units. If it is not possible to set up either of the picked Heroes on the battlefield, return both Heroes to their original positions."
Glimpse the Future,Disciples of Tzeentch,Lore of Fate,,7,,"Glimpse the Future is a spell that has a casting value of 7. If successfully cast, if you have fewer than 9 Destiny Dice, you can roll a dice and add it to your Destiny Dice."
Shield of Fate,Disciples of Tzeentch,Lore of Fate,,6,"18""","Shield of Fate is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Tzeentch unit wholly within range and visible to the caster. Until the start of your next hero phase, that unit gains one of the following effects based on the number of your remaining Destiny Dice at the time that the effect is applied:

1-3 That unit has a ward of 6+.
4-6 That unit has a ward of 5+.
7-9 That unit has a ward of 5+. In addition, each time that unit is affected by a spell or the abilities of an endless spell, you can roll a dice. On a 4+, ignore the effect of that spell or the effects of that endless spell’s abilities on that unit."
Treacherous Bond,Disciples of Tzeentch,Lore of Fate,,5,"9""","Treacherous Bond is a spell that has a casting value of 5 and a range of 9"". If successfully cast, pick 1 friendly Tzeentch Mortal unit wholly within range and visible to the caster. Until your next hero phase, while that unit is within 9"" of the caster, before you allocate a wound or mortal wound to the caster, or instead of making a ward roll for the caster, you can roll a dice. On a 3+, that wound or mortal wound is allocated to the Tzeentch Mortal unit you picked and cannot be negated."
Bolt of Tzeentch,Disciples of Tzeentch,Lore of Fate,,,"18""","Bolt of Tzeentch is a spell with a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. This spell cannot be cast more than once per turn, even though it appears in both the Lore of Fate and the Lore of Change."
Infusion Arcanum,Disciples of Tzeentch,Lore of Fate,,5,,"Infusion Arcanum is a spell that has a casting value of 5. If successfully cast, add 1 to hit and wound rolls for attacks made by the caster until your next hero phase."
Unchecked Mutation,Disciples of Tzeentch,Lore of Change,,6,"18""","Unchecked Mutation is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. If any models from that unit are slain by this spell, you can roll a dice. On a 3+, that unit suffers an additional D3 mortal wounds."
Fold Reality,Disciples of Tzeentch,Lore of Change,,7,"18""","Fold Reality is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 friendly Tzeentch Daemon unit wholly within range and visible to the caster, and roll a dice. On a 1, that unit is destroyed. On a 2+, you can return a number of slain models equal to that roll to that unit."
Tzeentch's Firestorm,Disciples of Tzeentch,Lore of Change,,8,"12""","Tzeentch’s Firestorm is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 9 dice. For each 6, that unit suffers D3 mortal wounds."
Arcane Suggestion,Disciples of Tzeentch,Lore of Fate,,8,"18""","Arcane Suggestion is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and pick one of the following effects:

It’s Hopeless: That unit cannot issue or receive commands until your next hero phase.

Drop Your Weapons: Subtract 1 from hit and wound rolls for attacks made by that unit until your next hero phase.

Kneel: Subtract 1 from save rolls for attacks that  target that unit until your next hero phase."
Speed of Hysh,Lumineth Realm-lords,Lore of Hysh,,5,"18""","Speed of Hysh is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Lumineth Realm-lords unit wholly within range and visible to the caster. Double the Move characteristic of that unit until your next hero phase."
Solar Flare,Lumineth Realm-lords,Lore of Hysh,,8,"10""","Solar Flare is a spell that has a casting value of 8 and a range of 10"". If successfully cast, pick a point on the battlefield within range and visible to the caster. If there is an endless spell at that point, it is dispelled, and if there is a unit at that point, roll a number of dice equal to the number of models in that unit. For each 6, that unit suffers 1 mortal wound."
Overwhelming Heat,Lumineth Realm-lords,Lore of Hysh,,7,"24""","Overwhelming Heat is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick 1 enemy unit wholly within range and visible to the caster. Halve the Move characteristic of that unit until your next hero phase. Then, roll a dice. If the roll is equal to or greater than that unit’s Save characteristic, that unit suffers D3 mortal wounds."
Transporting Vortex,Lumineth Realm-lords,Lore of the Winds,,8,"12""","Transporting Vortex is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 friendly Lumineth Realm‑lords unit wholly within range and visible to the caster. Remove that unit from the battlefield and set it up again on the battlefield more than 9"" from all enemy units. That unit cannot move in the next movement phase."
Howling Gale,Lumineth Realm-lords,Lore of the Winds,,8,"12""","Howling Gale is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit cannot issue or receive commands until your next hero phase."
Healing Zephyr,Lumineth Realm-lords,Lore of the Winds,,6,"18""","Healing Zephyr is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Lumineth Realm‑lords unit wholly within range and visible to the caster. You can heal up to D3 wounds allocated to that unit."
Crippling Vertigo,Lumineth Realm-lords,Lore of the High Peaks,,6,"18""","Crippling Vertigo is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, roll 2D6 before that unit makes a normal move, runs, retreats, makes a charge move or makes a pile-in move. If the roll is greater than that unit’s Bravery characteristic, it cannot make that move."
Billowing Ash,Ogor Mawtribes,Lore of the Sun-Eater,,6,"12""","Billowing Ash is a spell that has a casting value of 6 and a range of 12"". If successfully cast, until the start of your next hero phase, subtract 1 from hit rolls for attacks that target friendly units while they are wholly within range of the caster."
Tongues of Flame,Ogor Mawtribes,Lore of the Sun-Eater,,6,"18""","Tongues of Flame is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit that has 5 or more models within range and visible to the caster. Until the start of your next hero phase, each time that unit finishes a move, it suffers D3 mortal wounds."
Blubbergrub Stench,Ogor Mawtribes,Lore of Gutmagic,,5,"18""","Blubbergrub Stench is a spell that has a casting value of 5 and a range of 18"". If successfully cast, until the start of your next hero phase, while they are wholly within range of the caster, friendly Rhinox units are treated as Monsters for the purposes of the Trampling Charge battle trait; contesting objectives (core rules, 18.1.2); and carrying out monstrous rampages (core rules, 21.1)."
Binding Damnation,Slaves to Darkness,Lore of the Damned,,7,"12""","Binding Damnation is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, the strike-last effect applies to that unit."
Spite-tongue Curse,Slaves to Darkness,Lore of the Damned,,3,"12""","Spite-tongue Curse is a spell that has a casting value of 3 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers 3 mortal wounds. If the casting roll is unsuccessful or the spell is unbound, the caster suffers 3 mortal wounds."
Ruinous Vigour,Slaves to Darkness,Lore of the Damned,,6,"12""","Ruinous Vigour is a spell that has a casting value of 6 and a range of 12"" . If successfully cast, pick 1 friendly Slaves to Darkness Monster wholly within range and visible to the caster. Until the start of your next hero phase, use the top row on that unit’s damage table, regardless of how many wounds it has suffered."
Chaotic Conduit,Slaves to Darkness,Lore of the Damned,,7,"12""","Chaotic Conduit is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Eye of the Gods unit within range that is visible to the caster. You can immediately roll on the Eye of the Gods table for that unit."
Daemonic Speed,Slaves to Darkness,Lore of the Damned,,7,"12""","Daemonic Speed is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Slaves to Darkness unit that has a Mount and is wholly within range and visible to the caster. Until the start of your next hero phase, you can attempt a charge with that unit if it is within 18"" of the enemy instead of 12"". In addition, roll 3D6 instead of 2D6 for charge rolls made for that unit until the start of your next hero phase."
Warp Reality,Slaves to Darkness,Mark of Tzeentch,,6,"9""","Warp Reality is a spell that has a casting value of 6 and a range of 9"". If successfully cast, pick 1 friendly Tzeentch Slaves to Darkness unit visible to the caster. Remove that unit from the battlefield and set it up again wholly within range of the caster and more than 9"" from all enemy units. That unit cannot move in the next movement phase."
The Hand of Gork,Gloomspite Gitz,Lore of the Moonclans,,7,"24""","The Hand of Gork is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick 1 friendly Gloomspite Gitz unit more than 3"" from all enemy units and that is wholly within range and visible to the caster. Remove that unit from the battlefield and set it up again anywhere on the battlefield more than 9"" from all enemy units. It cannot move in the following movement phase."
Squig Lure,Gloomspite Gitz,Lore of the Moonclans,,5,"18""","Squig Lure is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Squig unit wholly within range and visible to the caster. Until your next hero phase, you can re-roll charge rolls for that unit."
Sneaky Distraction,Gloomspite Gitz,Lore of the Spiderfang,,7,"12""","Sneaky Distraction is a spell that has a casting value of 7 and a range of 12"". If successfully cast, until your next hero phase, subtract 1 from hit rolls for attacks made by enemy units while they are within range of the caster."
Curse of da Spider God,Gloomspite Gitz,Lore of the Spiderfang,,7,"24""","Curse of da Spider God is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the start of your next hero phase, hit rolls for attacks made by that unit always fail on an unmodified roll of 1 or 2 instead of only a 1, and save rolls for attacks that target that unit always fail on an unmodified roll of 1 or 2 instead of only a 1."
Scuttling Terrors,Gloomspite Gitz,Lore of the Spiderfang,,6,"18""","Scuttling Terrors is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Spiderfang unit wholly within range and visible to the caster. That unit can make a normal move."
Viletide,Beasts of Chaos,Lore of the Twisted Wilds,,6,"12""","Viletide is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds and cannot receive commands until the end of that turn."
Wild Rampage,Beasts of Chaos,Lore of the Twisted Wilds,,7,"12""","Wild Rampage is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Beasts of Chaos unit wholly within range and visible to the caster. Until your next hero phase, if the unmodified hit roll for an attack made with a melee weapon by that unit is 6, that attack scores 2 hits on the target instead of 1. Make a wound roll and save roll for each hit."
Primal Dominance,Beasts of Chaos,Lore of the Twisted Wilds,,5,"18""","Primal Dominance is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy Monster within range and visible to the caster. Until your next hero phase, that Monster counts as 1 model for the purposes of contesting objectives and cannot carry out monstrous rampages."
Hailstorm,Beasts of Chaos,Lore of Dark Storms,,6,"21""","Hailstorm is a spell that has a casting value of 6 and a range of 21"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, halve the Move characteristic of that unit, and halve run rolls and charge rolls for that unit."
Fulgurous Blades,Beasts of Chaos,Lore of Dark Storms,,6,"18""","Fulgurous Blades is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Beasts of Chaos unit wholly within range and visible to the caster. Until your next hero phase, subtract 1 from the Attacks characteristic of melee weapons that target that unit (to a minimum of 1)."
Thunderwave,Beasts of Chaos,Lore of Dark Storms,,5,"3""","Thunderwave is a spell that has a casting value of 5 and a range of 3"". If successfully cast, each unit within range of the caster suffers D3 mortal wounds. This spell has no effect on Thunderscorn units."
Furious Gale,Beasts of Chaos,Lore of Dark Storms,,6,"18""","Furious Gale is a spell that has a casting value of 6 and a range of 18"". Until your next hero phase, subtract 1 from the Attacks characteristic of missile weapons used by enemy units while they are within range of the caster (to a minimum of 1)."
Raging Storm,Beasts of Chaos,Lore of Dark Storms,,8,,"Raging Storm is a spell that has a casting value of 8. If successfully cast, you can heal 1 wound allocated to each friendly Thunderscorn unit on the battlefield. In addition, each enemy unit on the battlefield suffers 1 mortal wound."
Lash of Slaanesh,Invaders,Lore of the Despoiler,,6,"12""","Lash of Slaanesh is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to the number of models in that unit. For each 5+, subtract 1 from the Attacks characteristic of that unit’s melee weapons (to a minimum of 1) until your next hero phase."
Pavane of Slaanesh,Invaders,Lore of the Despoiler,,6,"12""","Pavane of Slaanesh is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to that unit’s Move characteristic. For each 5+, subtract 1"" from that unit’s Move characteristic (to a minimum of 1"") for the rest of the battle. The same unit cannot be affected by this ability more than once per battle."
Hysterical Frenzy,Invaders,Lore of the Despoiler,,7,"18""","Hysterical Frenzy is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to that unit’s Bravery characteristic. For each 6, that unit suffers D3 mortal wounds."
Soulslice Shards,Pretenders,Lore of the Magnificent,,5,"12""","Soulslice Shards is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 2D6. If the roll is greater than that unit’s Bravery characteristic, that unit cannot issue or receive commands until your next hero phase."
Born of Damnation,Pretenders,Lore of the Magnificent,,6,,"Born of Damnation is a spell that has a casting value of 6. If successfully cast, roll 6 dice. For each 4+, you receive 1 depravity point."
Paths of the Dark Prince,Godseekers,Lore of the Pursuer,,5,,"Paths of the Dark Prince is a spell that has a casting value of 5. If successfully cast, roll 3D6 instead of 2D6 when making a charge roll for the caster until your next hero phase."
Progeny of Damnation,Godseekers,Lore of the Pursuer,,5,"12""","Progeny of Damnation is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 friendly Hedonites of Slaanesh unit wholly within range and visible to the caster. Until your next hero phase, if that unit finishes a normal move, run or retreat within 9"" of any enemy units, those units cannot receive the Redeploy command."
Phantasmagoria,Pretenders,Lore of the Magnificent,,5,"12""","Phastasmagoria is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, each time that unit is picked to fight, roll a dice. On a 3+, you can pick 1 friendly Hedonites of Slaanesh unit within 3"" of that unit. That friendly unit can retreat before that enemy unit piles in."
Slothful Stupor,Godseekers,Lore of the Pursuer,,7,"12""","Slothful Stupor is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, the Move characteristic of that unit is 3"" and all run rolls and charge rolls for that unit are treated as being 3."
Drain Vitality,Ossiarch Bonereapers,Lore of Ossian Sorcery,,6,"18""","Drain Vitality is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, subtract 1 from hit rolls for attacks made by that unit and subtract 1 from save rolls for attacks that target that unit."
Protection of Nagash,Ossiarch Bonereapers,Lore of Ossian Sorcery,,6,,"Protection of Nagash is a spell that has a casting value of 6. If successfully cast, at the end of any phase, if any wounds or mortal wounds were allocated to the caster in that phase from an attack made with a melee weapon and the caster was not slain, remove them from the battlefield and set them up again on the battlefield more than 9"" from all enemy units. After setting up the caster, this spell is unbound."
Soulpike,Soulblight Gravelords,Lore of the Vampires,,6,"24""","Soulpike is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, if that unit makes a charge move, roll a number of dice equal to the charge roll for that charge move. For each 4+, that unit suffers 1 mortal wound.

If the unmodified casting roll for this spell is 9+ and this spell is not unbound, you can pick 2 different enemy units within range instead of 1."
Vile Transference,Soulblight Gravelords,Lore of the Vampires,,6,"9""","Vile Transference is a spell that has a casting value of 6 and a range of 9"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to that unit’s Wounds characteristic. For each 5+, that unit suffers 1 mortal wound and you can heal 1 wound allocated to the caster.

If the unmodified casting roll for this spell is 9+ and this spell is not unbound, the target suffers 1 mortal wound and you can heal 1 wound allocated to the caster for each 4+ instead of each 5+."
Fading Vigour,Soulblight Gravelords,Lore of the Deathmages,,6,"18""","Fading Vigour is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from the Attacks characteristic of that unit’s melee weapons (to a minimum of 1) until your next hero phase.

If the unmodified casting roll for this spell is 9+ and this spell is not unbound, subtract 2 from the Attacks characteristic instead of 1 (to a minimum of 1)."
Prison of Grief,Soulblight Gravelords,Lore of the Deathmages,,6,"12""","Prison of Grief is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, the strike-last effect applies to that unit. 

If the unmodified casting roll for this spell is 9+ and this spell is not unbound, the range of this spell is 24"" instead of 12""."
Waste Away,Soulblight Gravelords,Lore of the Deathmages,,6,"18""","Waste Away is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, subtract 1 from wound rolls for attacks made with melee weapons by that unit and subtract 1 from the Damage characteristic of that unit’s melee weapons (to a minimum of 1). 

If the unmodified casting roll for this spell is 9+ and this spell is not unbound, you can pick 2 different enemy units within range instead of 1."
Reinforce Constructs,Ossiarch Bonereapers,Lore of Ossian Sorcery,,5,"18""","Reinforce Constructs is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Ossiarch Bonereapers unit wholly within range and visible to the caster. Until your next hero phase, that unit has a ward of 4+ against mortal wounds."
Spirit Gale,Soulblight Gravelords,Lore of the Vampires,,7,,"Spirit Gale is a spell that has a casting value of 7. If successfully cast, each enemy unit on the battlefield suffers 1 mortal wound.If the unmodified casting roll for this spell is 9+ and this spell is not unbound, after the effect of this spell has been resolved, you can immediately resolve the effect of this spell for a second time."
Comet’s Call,Starborne,Lore of Celestial Domination,,7,,"Comet’s Call is a spell that has a casting value of 7. If successfully cast, pick up to D3 different enemy units on the battlefield. If the casting roll was 10+, pick up to D6 different enemy units instead of up to D3. Each of those units suffers D3 mortal wounds (roll separately for each unit). "
Tepok’s Beneficence,Starborne,Lore of Celestial Domination,,5,"18""","Tepok’s Beneficence is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Skink unit wholly within range and visible to the caster. Until the start of your next hero phase, subtract 1 from wound rolls for attacks that target that unit."
Soul Release,Ossiarch Bonereapers,Lore of Ossian Sorcery,,5,"12""","Soul Release is a spell that has a casting value of 5 and a range of 12"". If successfully cast, until your next hero phase, enemy reserve units and enemy summoned units (core rules, 3.1) cannot be set up within range of the caster. The range of this spell cannot be modified and must be measured from the caster, even if an ability would allow you to measure it from elsewhere."
Mystical Unforging,Starborne,Lore of Celestial Domination,,8,"12""","Mystical Unforging is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the start of your next hero phase, the Rend characteristic of that unit’s weapons is treated as ‘-’. "
Stellar Tempest,Starborne,Lore of Celestial Domination,,8,"24""","Stellar Tempest is a spell that has a casting value of 8 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to the number of models in that unit. For each 5+, that unit suffers 1 mortal wound."
Cosmic Crush,Starborne,Lore of Celestial Manipulation,,7,"12""","Cosmic Crush is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to the number of models in that unit. For each roll that equals or exceeds that unit’s Save characteristic, that unit suffers 1 mortal wound."
Celestial Harmony,Starborne,Lore of Celestial Manipulation,,5,"18""","Celestial Harmony is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Seraphon unit wholly within range and visible to the caster. If the casting roll was 10+, pick all friendly Seraphon units wholly within range and visible to the caster instead of 1. Until your next hero phase, the units picked have a Bravery characteristic of 10. "
Speed of Huanchi,Starborne,Lore of Celestial Manipulation,,6,"18""","Speed of Huanchi is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Kroxigor or Skink unit that is not a Monster and that is wholly within range and visible to the caster. That unit can make a normal move."
Empowered Celestite,Coalesced,Lore of Ancient Domains,,7,"18""","Empowered Celestite is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 friendly Saurus unit wholly within range and visible to the caster. Until the start of the next hero phase, improve the Rend characteristic of that unit’s Celestite weapons by 1. A Celestite weapon is any weapon that has ‘Celestite’ in the name."
Itzl’s Invigoration,Coalesced,Lore of Ancient Domains,,6,"12""","Itzl’s Invigoration is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Monster wholly within range and visible to the caster. Until the start of your next hero phase, use the top row of that unit’s damage table, regardless of how many wounds it has suffered."
Light of Chotec,Coalesced,Lore of Primal Jungles,,7,"12""","Light of Chotec is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Seraphon model wholly within range and visible to the caster. Roll a number of dice equal to the number of wounds allocated to it. For each 5+, heal 1 wound allocated to that model."
Heavenly Frenzy,Coalesced,Lore of Primal Jungles,,7,"18""","Heavenly Frenzy is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 friendly Seraphon unit wholly within range and visible to the caster. Until the end of the turn, that unit can run and still charge later in the turn."
Tide of Serpents,Coalesced,Lore of Primal Jungles,,7,"15""","Tide of Serpents is a spell that has a casting value of 7 and a range of 15"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to the number of models in that unit. For each 5+, that unit suffers 1 mortal wound."
The Earth Trembles,Coalesced,Lore of Ancient Domains,,8,,"The Earth Trembles is a spell that has a casting value of 8. If successfully cast, pick 1 of the corners of the battlefield and draw a straight line between that corner and the closest part of the caster’s base. Roll a dice for each enemy unit passed across by that line. On a 4+, that unit suffers D3 mortal wounds."
Drain Magic,Coalesced,Lore of Ancient Domains,,6,,"Drain Magic is a spell that has a casting value of 6. If successfully cast, until the end of the phase, each time a friendly Seraphon Wizard is picked to cast a spell, instead of attempting to cast that spell, they can attempt to dispel an endless spell. If they do so, add 1 to the dispelling roll. In addition, until the end of the phase, subtract 1 from unbinding rolls made for enemy units."
Hoarfrost,,Lore of Primal Frost,,8,"12""","Hoarfrost is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 friendly unit wholly within range and visible to the caster. Pick 1 melee weapon profile on that unit’s warscroll and roll a D3. Change the To Hit, To Wound or Rend characteristic of that melee weapon to match the result until the start of your next hero phase. For example, if the result was 2, you could change either the To Hit characteristic to 2+, the To Wound characteristic to 2+ or the Rend characteristic to -2. While a characteristic has been changed by the effects of this spell, that characteristic cannot be further changed or modified.

Designer’s Note: An unmodified hit roll or wound roll of 1 always fails. While characteristics can’t be further changed or modified, this doesn’t prevent dice rolls from being modified; for example, you could still use an ability to add 1 to hit rolls after using Hoarfrost."
Rupture,,Lore of Primal Frost,,10,"18""","Rupture is a spell that has a casting value of 10 and a range of 18"". If successfully cast, pick 1 predatory endless spell or 1 Incarnate wholly within range and visible to the caster. The target immediately becomes wild and cannot be picked to be controlled or bonded for the rest of the battle."
